iso3,country,year,scenario,hot_days_proj,hot_days_proj_diff_1981_2010,icing_days_proj,icing_days_proj_diff_1981_2010,trop_nights_proj,trop_nights_proj_diff_1981_2010,hot_days_proj_pct_change_1981_2010,trop_nights_proj_pct_change_1981_2010,icing_days_proj_pct_change_1981_2010,scenario_label,linked_ssp,is_linked_scenario
ARG,ARG,2040,PROJ_SSP585,39.1,16.1,0.9,-0.6,46.1,2.7,70.0,6.2211981566820285,-40.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2041,PROJ_SSP126,37.8,14.8,0.9,-0.7,43.4,0.0,64.34782608695654,0.0,-43.74999999999999,SSP1-2.6 (low emissions),,False
ARG,ARG,2041,PROJ_SSP245,36.0,13.0,1.0,-0.6,42.6,-0.8,56.52173913043478,-1.8433179723502304,-37.49999999999999,SSP2-4.5 (middle of the road),,False
ARG,ARG,2041,PROJ_SSP370,38.8,15.8,0.9,-0.6,45.5,2.1,68.69565217391306,4.838709677419355,-40.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2041,PROJ_SSP585,42.5,19.5,0.7,-0.8,47.1,3.7,84.78260869565217,8.525345622119817,-53.333333333333336,SSP5-8.5 (very high emissions),,False
ARG,ARG,2042,PROJ_SSP126,36.1,13.0,1.1,-0.5,43.3,-0.1,56.27705627705627,-0.2304147465437788,-31.25,SSP1-2.6 (low emissions),,False
ARG,ARG,2042,PROJ_SSP245,35.1,12.0,0.9,-0.6,41.4,-2.0,51.94805194805194,-4.6082949308755765,-40.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2042,PROJ_SSP370,38.1,15.1,0.9,-0.6,46.2,2.8,65.65217391304347,6.451612903225805,-40.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2042,PROJ_SSP585,41.2,18.2,0.9,-0.6,46.4,3.1,79.13043478260869,7.159353348729793,-40.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2043,PROJ_SSP126,35.6,12.6,1.1,-0.5,42.6,-0.8,54.78260869565217,-1.8433179723502304,-31.25,SSP1-2.6 (low emissions),,False
ARG,ARG,2043,PROJ_SSP245,37.2,14.1,0.9,-0.7,42.5,-0.9,61.038961038961034,-2.0737327188940093,-43.74999999999999,SSP2-4.5 (middle of the road),,False
ARG,ARG,2043,PROJ_SSP370,39.0,16.0,0.9,-0.6,46.8,3.4,69.56521739130434,7.834101382488479,-40.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2043,PROJ_SSP585,42.0,19.0,0.8,-0.7,46.3,2.9,82.6086956521739,6.682027649769585,-46.666666666666664,SSP5-8.5 (very high emissions),,False
ARG,ARG,2044,PROJ_SSP126,36.3,13.2,0.8,-0.7,43.0,-0.3,57.14285714285714,-0.6928406466512702,-46.666666666666664,SSP1-2.6 (low emissions),,False
ARG,ARG,2044,PROJ_SSP245,38.9,15.8,0.9,-0.7,44.6,1.2,68.3982683982684,2.7649769585253456,-43.74999999999999,SSP2-4.5 (middle of the road),,False
ARG,ARG,2044,PROJ_SSP370,40.9,17.8,0.9,-0.6,46.7,3.3,77.05627705627707,7.603686635944699,-40.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2044,PROJ_SSP585,42.3,19.3,0.8,-0.7,47.8,4.4,83.91304347826089,10.138248847926267,-46.666666666666664,SSP5-8.5 (very high emissions),,False
ARG,ARG,2045,PROJ_SSP126,37.7,14.7,1.2,-0.4,43.0,-0.4,63.91304347826085,-0.9216589861751152,-25.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2045,PROJ_SSP245,38.1,15.0,0.8,-0.7,44.4,1.1,64.93506493506493,2.540415704387991,-46.666666666666664,SSP2-4.5 (middle of the road),,False
ARG,ARG,2045,PROJ_SSP370,38.1,15.1,1.0,-0.6,43.6,0.2,65.65217391304347,0.4608294930875576,-37.49999999999999,SSP3-7.0 (high emissions),,False
ARG,ARG,2045,PROJ_SSP585,39.6,16.6,0.8,-0.8,46.0,2.6,72.17391304347827,5.990783410138249,-50.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2046,PROJ_SSP126,35.6,12.6,0.9,-0.6,44.2,0.9,54.78260869565217,2.0785219399538106,-40.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2046,PROJ_SSP245,38.5,15.5,0.9,-0.6,44.2,0.9,67.3913043478261,2.0785219399538106,-40.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2046,PROJ_SSP370,37.8,14.8,0.9,-0.7,46.6,3.2,64.34782608695654,7.373271889400922,-43.74999999999999,SSP3-7.0 (high emissions),,False
